Ticker,Max_Drawdown,Monthly_Hit_Rate,Upside_Capture,Downside_Capture,Down_Month_Hit_Rate,Worst_Month_Hit_Rate,Sectors,Industry Groups,Domicile Country,Workforce Size,Annual Revenue,Structure
HSIC,-0.32698999565028347,0.4166666666666667,0.7764392207231627,0.8176242161133271,0.3,0.3333333333333333,Health Care,Health Care Equipment & Services,United States,"25,000 - 49,999 employees","$10,000,000,001 - $25,000,000,000",Public
ATRL,-0.4271356783919602,0.5666666666666667,1.0967454112367891,0.8102938485665928,0.65,0.6666666666666666,Industrials,Commercial & Professional Services,Canada,"25,000 - 49,999 employees","$5,000,000,001 - $10,000,000,000",Public
GPK,-0.5248823133826492,0.45,0.7978692901137326,0.8769289712333351,0.5,0.6666666666666666,Materials,Materials,United States,"15,000 - 24,999 employees","$5,000,000,001 - $10,000,000,000",Public
AOS,-0.42675399924423807,0.43333333333333335,1.100142254409089,1.1412807323659313,0.2,0.0,Industrials,Capital Goods,United States,"10,000 - 14,999 employees","$1,000,000,001 - $5,000,000,000",Public
PSN,-0.5115170770452739,0.48333333333333334,0.837123276496203,0.7560777774418543,0.5,1.0,Industrials,Capital Goods,United States,"15,000 - 24,999 employees","$1,000,000,001 - $5,000,000,000",Public
LNC,-0.7313211281543794,0.45,1.7596786647009028,1.8672729386866591,0.35,0.6666666666666666,Financials,Financial Services,United States,"10,000 - 14,999 employees","$10,000,000,001 - $25,000,000,000",Public
OSK,-0.4774539998420607,0.45,1.4159930032970578,1.436756240246642,0.3,0.0,Industrials,Capital Goods,United States,"15,000 - 24,999 employees","$10,000,000,001 - $25,000,000,000",Public
TKR,-0.4205005959475577,0.5166666666666667,1.429489404043313,1.5310301614837787,0.5,0.6666666666666666,Industrials,Capital Goods,United States,"15,000 - 24,999 employees","$1,000,000,001 - $5,000,000,000",Public
ITRI,-0.65264732773668,0.45,1.501231434438006,1.607334159755234,0.3,0.3333333333333333,Information Technology,Technology Hardware & Equipment,United States,"5,000 - 9,999 employees","$1,000,000,001 - $5,000,000,000",Public
LEA,-0.5962729484627293,0.4,1.4106401684789343,1.6053712607183397,0.25,0.0,Consumer Discretionary,Automobiles & Components,United States,"Over 100,000 employees","$25,000,000,001 - $50,000,000,000",Public
MOTV3,-0.29946929492039415,0.43333333333333335,0.5171656315523476,0.47615192883049223,0.5,0.6666666666666666,Industrials,Transportation,Brazil,"15,000 - 24,999 employees","$1,000,000,001 - $5,000,000,000",Public
NATU3,-0.8759011328527293,0.36666666666666664,0.4627744756410778,0.8655197482557007,0.35,0.3333333333333333,Consumer Staples,Household & Personal Products,Brazil,"10,000 - 14,999 employees","$1,000,000,001 - $5,000,000,000",Public
BIMBOA,-0.34475388260068357,0.6166666666666667,0.7735966512314774,0.31554753528660506,0.65,1.0,Consumer Staples,"Food, Beverage & Tobacco",Mexico,"Over 100,000 employees","$25,000,000,001 - $50,000,000,000",Public
GT,-0.7220381110190549,0.43333333333333335,1.787420755155197,1.9399667704035304,0.5,0.3333333333333333,Consumer Discretionary,Automobiles & Components,United States,"50,000 - 100,000 employees","$10,000,000,001 - $25,000,000,000",Public
PINC,-0.5272727272727263,0.43333333333333335,0.4066876151309608,0.19333207937666474,0.6,0.6666666666666666,Health Care,Health Care Equipment & Services,United States,"1,000 - 4,999 employees","$1,000,000,001 - $5,000,000,000",Public
SIG,-0.5711872360394183,0.55,1.9370170362023775,1.7172624206023863,0.5,0.3333333333333333,Consumer Discretionary,Consumer Discretionary Distribution & Retail,United States,"25,000 - 49,999 employees","$5,000,000,001 - $10,000,000,000",Public
CRI,-0.7483752166377811,0.4,1.1358756894462891,1.4380373487867129,0.4,0.3333333333333333,Consumer Discretionary,Consumer Discretionary Distribution & Retail,United States,"15,000 - 24,999 employees","$1,000,000,001 - $5,000,000,000",Public
