Ticker,Max_Drawdown_Pct,Time_Underwater_Days,Recovery_Days,Monthly_Hit_Rate_Pct,Upside_Capture_Pct,Downside_Capture_Pct,Down_Month_HR_Pct,Worst_Month_HR_Pct,Sectors,Industry Groups,Domicile Country,Workforce Size,Annual Revenue,Structure,CAPM_Alpha_Ann_Pct,CAPM_Beta,Ann_Return_Pct,Ann_Volatility_Pct,Sharpe_Ratio,Sortino_Ratio,Info_Ratio,Total_Return_Pct
CTSH,-43.76578645235352,756,595.0,46.666666666666664,106.79022739689141,116.16921554814522,40.0,33.33333333333333,Information Technology,Software & Services,United States,"Over 100,000 employees","$10,000,000,001 - $25,000,000,000",Public,-7.399550969918598,1.12255293332254,4.969179002554221,25.28586258078726,0.19652005094459027,0.24737747530064885,-0.2982088619476825,9.435462496687318
HIG,-18.62068965517243,227,41.0,50.0,78.81867191560534,56.62342579227454,60.0,66.66666666666666,Financials,Insurance,United States,"15,000 - 24,999 employees","$25,000,000,001 - $50,000,000,000",Public,16.15874921899333,0.7815774913391439,24.77047758918591,23.612124689817346,1.0490575462642757,1.5641510823887637,0.6450903767376536,212.05367295883613
DELL,-59.59085162624985,415,,56.666666666666664,177.0377785373608,155.97846823261608,65.0,66.66666666666666,Information Technology,Technology Hardware & Equipment,United States,"Over 100,000 employees","Greater than $75,000,000,000",Public,16.817427743534175,1.6292712745364322,34.76937980605445,43.73607646372709,0.794981685997617,1.119667167413047,0.6133558522081367,270.3605200945635
NOKIA,-47.60000000000004,996,492.0,50.0,83.47187031279348,70.80937766279328,65.0,66.66666666666666,Communication Services,Telecommunication Services,Finland,"50,000 - 100,000 employees","$10,000,000,001 - $25,000,000,000",Public,11.141291176358829,0.656453659497124,18.37435592790636,32.37041508189611,0.5676280604193622,0.7910557585698188,0.23372014522776258,97.85714285714249
ROK,-45.09148864437434,509,279.0,43.333333333333336,137.0324657468368,137.46993370800084,35.0,66.66666666666666,Industrials,Capital Goods,United States,"25,000 - 49,999 employees","$5,000,000,001 - $10,000,000,000",Public,-0.07585063117148066,1.3484337414969172,14.78172297560865,30.321452811284104,0.48750048579821487,0.6347337070589415,0.15252045716520873,69.01482127288527
IP,-47.99035369774927,888,370.0,45.0,93.60430202934025,100.61515922277779,40.0,33.33333333333333,Materials,Materials,United States,"50,000 - 100,000 employees","$10,000,000,001 - $25,000,000,000",Public,-5.598692705355187,0.9830189014366489,5.232596393609076,30.00184251378901,0.17440916807706544,0.23593175458931698,-0.21513144850854332,3.806228373702125
FITB,-51.67053364269132,717,380.0,53.333333333333336,142.90789041299266,138.613937859953,50.0,33.33333333333333,Financials,Banks,United States,"15,000 - 24,999 employees","$5,000,000,001 - $10,000,000,000",Public,3.536930250658417,1.3905158123163033,18.858180674091535,31.68858372648426,0.5951096090902446,0.8463738785853896,0.3010428767117138,104.41048034934556
HPQ,-43.30117899249731,520,,41.66666666666667,135.49654814742453,146.44709968231368,30.0,33.33333333333333,Information Technology,Technology Hardware & Equipment,United States,"50,000 - 100,000 employees","Greater than $75,000,000,000",Public,-8.049033370839648,1.3651901904180237,6.993169384241991,33.54187231693398,0.20849072819084738,0.2824348996923639,-0.1415760496716882,7.373493975903878
CAP,-46.03851444291615,547,,53.333333333333336,98.90131710375805,103.3738669089709,50.0,100.0,Information Technology,Software & Services,France,"Over 100,000 employees","$10,000,000,001 - $25,000,000,000",Public,-2.8619655658083856,0.954570846046085,7.6558716638294335,27.446405406566605,0.27893895577297534,0.40837068878553795,-0.13879696864052454,22.281440728960476
FTV,-32.097710966860255,480,297.0,43.333333333333336,108.96904219951378,120.09732698242979,35.0,66.66666666666666,Industrials,Capital Goods,United States,"10,000 - 14,999 employees","$1,000,000,001 - $5,000,000,000",Public,-9.0021195685615,1.1747240994852575,3.941452843372707,23.925550479598748,0.1647382302335561,0.22111908263745855,-0.39228808615075245,5.685298621745893
